name,in_degree,out_degree
"AS, NA",1,1
"US, HI",32,28
"GU, NA",4,4
"MP, NA",3,2
"US, AK",34,30
"US, CA",50,49
"PR, NA",33,36
"US, AL",37,34
"US, AR",33,27
"US, AZ",48,47
"US, CO",49,49
"US, CT",40,40
"US, DC",47,47
"US, FL",52,51
"US, GA",52,52
"US, IA",37,37
"US, IL",52,52
"US, IN",44,44
"US, KY",48,49
"US, LA",46,45
"US, MA",46,43
"US, MD",46,48
"US, MI",48,49
"US, MN",49,50
"US, MO",46,50
"US, NC",45,48
"US, NE",41,42
"US, NH",32,36
"US, NJ",47,47
"US, NM",38,37
"US, NV",46,46
"US, NY",50,51
"US, OH",50,48
"US, OR",39,39
"US, PA",50,47
"US, RI",35,36
"US, TN",51,51
"US, TX",51,51
"US, VA",39,41
"US, WI",41,45
"VI, NA",15,15
"US, MT",27,32
"US, OK",45,42
"US, SC",39,40
"US, UT",44,45
"US, WA",42,43
"US, ME",28,31
"US, MS",31,29
"US, WV",24,25
"US, ID",31,26
"US, KS",32,28
"US, ND",22,24
"US, SD",26,26
"US, WY",18,21
"US, VT",16,16
"US, DE",0,0
